__label__1 , 货已 收到 质量 不错 京东 服务
__label__2 , 差评 手机 连个 原装
__label__2 , 玩具
__label__1 , 鞋子 很棒 春秋 特别
__label__1 , 不错 实用
__label__2 , 屏幕 黑条 一闪 一闪
__label__1 , 评论 骗人 实物 表情 模糊 分辨率 调到 那字 薄变 近视 不带 眼镜 看不见 那字 一周 一点 下文 本本 效果 不值 后续 下手 朋友 小心 实体店 实物 肠子 都悔青
__label__1 , 外观 鞋带 一副 建议 另配 一副 面料 同色 鞋带 更好
__label__2 , 差评 几个 小时 卡死 客服 恢复 出厂 设置 每次 恢复 出厂 设置 买来 干嘛 翻新 差评 差评
__label__1 , 好看 鞋子 图片
__label__1 , 好好 好好 真的 好看 上档次
__label__2 , 像素 广告 所说 垃圾 像素 机体 整体感 不错 价位 估计 像素 还好 家里 老爷子 拍照 希望 过程 内存 运行 客服 服务态度 机子 宣传 像素 不符
__label__1 , 超窄 边框 很漂亮 配置 性价比 出差 旅游 携带
__label__1 , 网上 犹豫不决 看中 小米 6Pro 外观 样子 不错 价位 合适 下单 发现 京东 各家 店铺 售价 差别 担心 假货 自营 选中 note5 外观 好看 不错 内存 运存 拍照 到手 后用 几天 感觉 还好
__label__2 , 不知
__label__1 , 款式 好看 舒适 价格 鞋子 值得 购买 还会 关注 卖家 生意兴隆
__label__2 , 京东 物流配送 原因 导致 电脑 显示屏 损坏 显示屏 换货 过程 导致 主机 退回 时间 超时 京东 不予 更换 客服 售后 回避 承担责任 置之不理
__label__1 , 衣服 质量 舒服
__label__2 , 第三次 买手机 手机 京东 无好
__label__1 , 信誉 发货
__label__1 , 鞋子 收到 图片 差别 试穿 舒服
__label__1 , 玩剑 网三
__label__1 , 不错 扫雷 一点 不卡
__label__2 , 屏幕 很大 手感 不错 后盖 污渍 镜头 希望 京东 说法 二手 dong
__label__2 , 手机 质量 很差 无缘无故 关机 老人家 意见 很大
__label__2 , 对华 真的 超级 失望 拍照 质量 好意思 大势 吹嘘 一千块 手机 好多 真的 刻意 良心 评价 真想 问问 想要 本来 想换个 新手机 宝宝 拍照 每次 感觉 照片 看用 像素 一拉 糊成 样子 真的 网上 颗粒状 投诉
__label__1 , 满意 网购 想象 色差 大小 合适 物流 送货 好评
__label__1 , 东西 不错 喜欢 还会 光临 谢谢
__label__2 , 显示 诺基亚 到货 骗人 希望 有人 真货
__label__1 , 宝贝 质量 到位 可以信赖 店家 宝贝 图片
__label__1 , 766 入手 四个 一半 625 价格 要说 一句 真香
__label__1 , 手机 妹妹 喜欢 颜值 手机 ov 感觉 品控 差点 同事 r7s 半年 破音 mate mate10 体验 不错 这款 华为 nave 2s 妹妹 本来 mix2 一加 华为 荣耀 V10 老妹 颜值 性能 能用 这款 下图 苹果 6sp 大小 参考
__label__2 , 手机 没用 几天 数据线 线针 一根 起点 售后 回去 人为 毛病 抠出来
__label__1 , 不错 合身
__label__1 , 反馈 不错
__label__2 , 不好 客服 踢皮球 解决不了 手机 买回来 家里 老人 太小 看不清 打算 退货 客服 电话 更本 退货 恶劣 怀疑 评论 差评
__label__2 , 一个月
__label__2 , 一周 关机 就让 返修 肯定 翻新 不想 这一星
__label__2 , 第一次 京东 冲着 售后 失望 xx 敏感 词汇 手机 第一次 只能 充满 不到 没电 售后 更是 失望 现是 上门 取件 很久没 快递 电话 无缘无故 不上 回去 手机 屏幕 划痕 拿到 手机 钢化 几天 宿舍 天天 放在 床上 指甲 锋利 第一次 华为 第一次 京东 华为 京东 一生 手机 好看
__label__1 , 刘海 设计
__label__1 , 追评 体验 送货 速度 挺快
__label__1 , 不错
__label__2 , 打开 相机 照相 有时候 自动 重启 关机
__label__1 , 价钱 鞋子 挺不错 不磨脚 穿着 舒服
__label__2 , 两个 发现 手机 开到 大声 噪声 好像 喇叭 买回来 声音 京东 华为 失望 希望 谨慎
__label__1 , 很快 收到 一段时间
__label__2 , 机器 太慢 垃圾
__label__1 , 质量 不错 喜欢
__label__1 , 机子 数据 参数 不多 大师 接近 看着 数字 满意 下载 游戏 画质 没什么 总的来讲 配置 真心 不错 值得 入手
__label__2 , 物流 太慢 手机 耳机 包装 不好
__label__1 , 鞋子 收到 特别 满意哦 穿上去 不错 质量 没话说 图片 描述 物有所值
__label__2 , 店家 选择 上门 物流 差评 裤子 质量 不错 标注 夏季 新款 不太 适合 适合 夏天
__label__2 , 做工 粗糙 质量 最差 网购
__label__2 , 找事 京东 购买 苹果 手机 第一个 苹果 网上 能查 保修 日期 第二个 查不到 身边 朋友 翻新 机子 希望 京东 答复 我会 地方 发布 京东 购买 苹果 手机
__label__2 , 触摸 不灵敏 个例 现象 华为 论坛 好多
__label__1 , 电脑 送到 感觉
__label__1 , 犹豫 小伙伴 下手 个人感觉 不错
__label__2 , 老公 老爸 声音 挺大 电能 多久 满意 手写
__label__2 , 做工 感人 hellip hellip 左下角 不平 触摸板 触摸板 水平 赶工 产品 麻烦 品控 做好
__label__1 , 性价比 运行 流畅 实体店 多家 下单 外包装
__label__2 , 京东 垃圾 人货 没到 没货
__label__2 , 下单 星期 收到 京东 垃圾 星是 快递 真的 辛苦 外包装 痕迹 手机 摄像头 内有 多余 小米 品控 有待 提高 不管怎么 支持 国产 手机 遗憾 支持 NFC 拍照 防抖 功能 努比亚 差距
__label__2 , 电池 续航 不错 一充 玩游戏 手机 不到 全是 沙沙声 质量 堪忧 屏幕 灵敏 玩游戏 不动 感觉
__label__2 , 手机 到手 接听 问候 售后
__label__2 , 京东 物流 速度 不行 市区 说好 当天 送达 隔天 耽误 无话可说 差评
__label__1 , 点下 第二天 到手 感觉 不错
__label__1 , 布薄
__label__1 , 
__label__1 , 物流 超级 真的 6.18 凌晨 下单 6.19 朋友 出厂 去年 参数 还好 风扇 声音 散热 不高 随便 无所谓 喜欢 哪些方面
__label__2 , 收到 发现 54g
__label__2 , 买来 网查 电话 技术支持 过期 新买 机子 过期 机子 肯定 百度 激活 已过期 售后 借口 解释 没事 影响 下次 二手货
__label__2 , 七天 理由 退款 骗人
__label__2 , 一个月 返厂 两次 不用 多花点 别家 游戏 大众 牌子
__label__1 , 码数 偏小 上点
__label__1 , 产品 很快 服务态度
__label__1 , 爸爸 信仰 只爱 老人 不错
__label__2 , 差评
__label__1 , 不错 手感
__label__1 , 总体 价位 满意
__label__2 , 照相 差点
__label__2 , 垃圾 手机 买回来
__label__1 , 三次 360 手机 手机电池 耐用 处理器 希望 360 更好
__label__2 , 京东 购物 多年 第一次 差评 日买 到货 当天 老公 手机 盒子 脱手 桌子 模样 距离 桌子 厘米 这是 塑料 保证 手机 永远 不掉 谨慎 客服 花钱 申请 维修 490 天无 理由 退换货 骗人 良心 建议 后悔 手机 屏幕 很大 很大 分辨率 不敢恭维
__label__1 , 码子 鞋子 质量 款式 喜欢 那种
__label__1 , 妹妹
__label__2 , 服务 七天 包退 我下 完单 五分钟 退货
__label__2 , 手机 发烫
__label__1 , 舒服
__label__2 , 不到 开机
__label__1 , 朋友
__label__1 , 比较满意 喜欢 亲们 下单
__label__1 , 轻便 舒服 跑步 首选 活动 李宁 安踏 安踏 胶水 味好
__label__2 , 刚刚 手机 一周 屏幕
__label__1 , 喜欢 便宜 物美价廉
__label__2 , 失望透顶 购物 电脑 飞起 心通 看鲁 大师 七万 垃圾 垃圾 退货
__label__1 , 电脑 入手 感觉 不错 符合 很值 感觉 一款 值得 入手 电脑
__label__1 , 
__label__2 , 保价 上当
__label__1 , 清晰度 OK 系统 运行 流畅 MATE10 外观 档次
__label__1 , 阿鹿 提醒
__label__1 , 手机 入手 人脸 解锁 给力 拍照 性能 伤害 手机 本机 本来 打算 入手 2s 新机 本机 果断 入手 预售 付款 到货 反正 6666 功能 发掘 hellip hellip
__label__2 , 真的 垃圾 反应迟钝 黑屏
__label__1 , 收到 鞋子 不错 挺舒服 价格 实惠
__label__2 , 电池 费电 半天 不到
__label__2 , 反正 不爽 手机 边缘 缝隙 感觉 好大 黑色
__label__2 , 运行 速度慢 屏幕 设计 不合理 价格 性价比
__label__2 , 物流 送货 五天 第二天 礼品 气死
__label__2 , 垃圾 东西 触屏 不灵 屏幕 跳来跳去 黑屏 小米 狗屎 电池 耐用 差差
__label__1 , 孩子 喜欢 质量 不错 谢谢 店家
__label__1 , 鞋底 臭脚
__label__1 , 
__label__2 , 图片 感觉 失望 至极
__label__2 , 充电器 何谈 整机 保修 两年 充电器 保修 一年
__label__1 , 不错 包装 喜欢 鞋子
__label__2 , 耗电 4000 毫安 电池 我原 3000 毫安 电池 金立 手机 耐用
__label__2 , 真的 垃圾 王者 屏幕 卡屏 断触 再也 不想 小米 东西
__label__2 , 发烫 手机 变卡 太烂 不值 价格 时不时 卡顿 真无语
__label__1 , 号码 合适 看着
__label__2 , 电池 个钟
__label__2 , 真的 裸机 电话 掉电 飞快 早上 满电 小时 极品飞车 百分之 失联 信号 像素 垃圾 双摄 1200 要死 红米 4x 壳子
__label__2 , 假货 假冒
__label__2 , 垃圾 老妈 没用 几天 小事 老妈
__label__2 , 说实话 真心 一颗 不想 真心 垃圾 客服 垃圾 产品 垃圾 不在意 真心 不爽 客服 不理 手机 无限 自动关机
__label__1 , 印花 很漂亮 弟弟 喜欢 五星 发评
__label__1 , 发货 速度 很快 这鞋 质量 不错 换货
__label__1 , 睡衣 收到 全棉 舒服 冷点 店里 便宜 好多
__label__1 , 十点 下单 当天 五点 下班 准时 送到 京东 快递 HP 光影 精灵 游戏 台式 电脑 无愧 国际 品牌 设计 精巧 做工 精致 开机 神速 首次 开机 配置 系统 时间 久点 耐心 等待 绿色 LED 氛围 晚上 特别 迷人
__label__1 , 店家 服务态度 快递 包装 完整 款式 好看 还会来 穿着 舒服 朋友 帮忙
__label__2 , 刚刚 降价 申请 保价 是因为 两个 东西 明明 商品 赠品 商品 赠品 是因为 赠品 保价 无语 评论 手机 特别 京东 东西 各买 提交 结帐 保价 特别 麻烦
__label__2 , 摄像头 有灰点 机身 边缘 瑕疵 卡机 东西 迟迟 派送 最让人 无语 申通 快递 送来 快递 手机 显示 物流 过程 暴力 7000 手机 快递 包裹 防护 手机 本来 京东 京东 家电 京东 物流 防护 失望
__label__1 , 质量 不错 穿着 舒服 轻便 透气 孩子 喜欢
__label__1 , 不错 穿着 舒适 样子 好看
__label__2 , 耳机 光秃秃 手机 想着 最起码 有个 手机 失望
__label__2 , 东西 目测 质量 购物 生气 购买 明明 显示 提示 号会 送达 晚上 送达 客服 沟通 告知 没货 等待 上边 显示 购买 等待 这是 欺骗 消费者 明明 库存 显示 有货 客服 沟通 抱歉 对不起 感觉 敷衍 急用 选择 喜欢 当初 我要 这款 京东 失望 特别 无语
__label__1 , 商品 照片 相符 快递 服务 物流 点赞
__label__1 , 不错 第二次
__label__2 , 差评 坑人 玩意 一个月 上网 打游戏 打着 cf 卡住 这是 第三次 卡死 我忍 重启 重启 USB 鼠标 鼠标 通电 控制面板 鼠标 运转 鼠标 鼠标 依然 卖家 坐等 解决办法
__label__1 , 电脑 收到 满意 用过 戴尔 电脑 第一次 感觉 电脑 漂亮 做工 电脑 边框 很窄 看着 舒服 唯一 感到 习惯 Win10 系统 熟悉 综合 评价
__label__1 , 
__label__1 , 材质 舒服 低估 肚子 码字
__label__2 , 天降 200
__label__1 , 
__label__2 , 手机 第一次 试试 小米 到手 黑屏 死机 情况 不到 一个月 真的 失望 软件 延迟 小米 翻新 华为 荣耀 一段时间 情况 短时间
__label__1 , 手机 太松 不错
__label__2 , 东西 喜欢 没见 商家 东西 打卡 七天 理由 退货 笑话
__label__1 , 正品 正品
__label__1 , 收到 主机 插电试 开机 速度 很快 运行 顺畅 京东 配送 速度 一如既往 配送 人员 态度
__label__1 , 鞋码 不换 鞋子 薄软 舒服 不错
__label__1 , 适合 冬天
__label__1 , 质量 不错 发货 收到 宝贝 开心 喜欢
__label__1 , 满意
__label__2 , 质量 物流 很慢
__label__1 , note4 再也 不痛
__label__1 , 物流 舒服
__label__1 , 西裤 类型 高大 骗人 实惠
__label__2 , 感觉 手机 发热 微信 自带 浏览器 新闻
__label__1 , 收到 宝贝 价格 超级 便宜 上身 效果 完美 朋友 这身 衣服 帅气 满意
__label__2 , 垃圾 刚刚 降价 一百块 再也 不上 京东 买手机
__label__2 , 真的 不行 指纹 收集器 系统 解锁 数字 锁定 状态 虚拟 锁定 隐藏 照相 n4s 多个 虚化 到手 有个 丝印 认定 手机 当面 验收 一句 360 售后 态度
__label__1 , 机箱 确实 漂亮 外边 白色 透明 科技 彩色 风扇 更是 完美
__label__1 , 商品 不错 性价比 值得 购买
__label__2 , 买不到 一个月 黑屏 照相机 京东 质量保证 差劲
__label__2 , 买回来 屏幕 压条 质量 真差
__label__1 , 商品质量 满意 配送 速度 配送 态度
__label__1 , 鞋子 收到 质量 不错 款式 好看 满意
__label__1 , 送货 服务
__label__1 , 物流 速度
__label__1 , 货已 收到 看着 质量 不错 一会 试试
__label__1 , 感觉 还好 机型 好看 后壳 玻璃 材质 弧度 手感 不错 个人感觉 手感 r15 运行 挺快 电池 充电 速度 r15 软件 玩游戏 一会儿 发热 一会儿 游戏 分屏 功能 黑屏 几秒 吓死人 希望 出大 个人感觉 确实 oppo r15 好用
__label__2 , 半个 微信 语音 声音 电话 声音 在线 服玩 失踪 厉害 事儿 没完
__label__2 , 期待 满满的 第一部 高颜值 手机 荣耀 原以为 能用 上个 两三年 一个月 多天 后坏 没法 退货 没法 换货 通话 时开 免提 听筒 免提 听筒 噩梦 声音 特别 声音 特别 声音 特别 个例 网上 网友 中招 荣耀 官方 回复 挡住 mic 说话 换个 位置 手机 挡住 mic 申请 返修 速度 没法 检查 硬件 说开 高清 Volte 返回 通话 声音 依旧 明明 mic 要说 高清 语音 强烈建议 退货 退款 希望 评论 希望 买家 擦亮眼睛 入手
__label__2 , 还行 还行
__label__2 , 看图 不到 一月 外力 作用 小小的 鼓包 绽放
__label__2 , 手机 京东 客服 vivo 客服 心累
__label__2 , 隔用 喜欢 烦人 hellip hellip 期盼 失望
__label__1 , 做工 完美 好不好 用过
__label__1 , 真机 手感 运行 流畅 昨晚 下单 送达 64% 拿到 四个 小时 41% 续航 不错 满意 担心 导航键 不能取消 设置
__label__1 , 面料 不错 没什么 挑剔
__label__1 , 穿着 舒服 质量 很漂亮 喜欢
__label__2 , 垃圾 店有 欺骗
__label__2 , 真的 垃圾 五千 大洋 买个 裸机 你家 产品 包装 简陋 抗压 包装 真的 佩服 实体店 真的 真的 low 华硕 机子 垃圾 几个 软件 打游戏 温度 起飞 大师 报警 真的 垃圾
__label__2 , 手机 二手 收到 十天 开机 激活 京东 客服 死不承认 不亏 发现 毛病 没退
__label__2 , 这是 京东 过份 舒服 京东 着急 双鞋 多天 受够了 零星 不想
__label__2 , 屏幕 素质 白光 眼睛 做好 屏幕 打算 建议 选购 重启 无限 蓝屏 服服 只能 重置 电脑 实在 这船 自行 购买 ips 内存条 固态 怀着 一颗 宽容
__label__1 , 款式 不错 效果
__label__2 , 垃圾 售后 刚买 我要 退货 鉴定 评分 垃圾 京东 下次 京东 东西 七天 理由 退换货 承诺
__label__2 , 差评 一段时间 评价 东西 正品 太次 商家 承认 商品 不好 售后 情况 正品 没管 本来 京东 没想到 失望
__label__2 , 几天 老妈 ldquo 网上 东西 rdquo 手机 建议 网购 多年 第一次 差评
__label__1 , 满意 物流 很快
__label__2 , 物流 速度 挺快 拆开 电脑 发现 屏幕 划痕 影响 超级 舒服 不知 二手 电脑 评价 情况
__label__1 , 喜欢 运行 流畅 支持 京东
__label__2 , 耗电 电池 耐用 超级 模式 网页 耗电
__label__2 , 京东 促销 物流 爆仓 增加 运能 只能靠 客服 忽悠 拖延 物流 信息 总要 翻看
__label__2 , 差评 赠品 耳机 耳机 配件 京东 自大 手机 店里 耳机 贴膜 手机 肯定 价钱 京东 膨胀 亲们 团结起来 说实话 同事 正品 赠品 关键 赠品
__label__1 , 联想 超轻薄 笔记本电脑 性能 强劲 颜值 超高
__label__1 , 不错
__label__2 , 东西 超级
__label__1 , 质量 大小 合适 价格合理 卖家
__label__2 , 第一次 凑合
__label__2 , 刚刚 那到 便宜 00 心情 瞬间 不好
__label__1 , 适合 学生 太高 学生 推荐 屏幕 那种 护眼 推荐
__label__2 , 手机 没买 好久 网络 太差 一会儿 有网 一会儿 没网 电话 断网 状态 恼火
__label__1 , 舒服
__label__1 , 质量 不错 喜欢 好评 颜色 图片 喜欢 物流 很快
__label__1 , 不错
__label__1 , 企业 专用 机器 噪音 速度 干干的
__label__2 , 不怎么样
__label__1 , 快递 速度 蛮快 屏幕 5.84 不像 手机 几天 有待 观察 送些 东西 更好
__label__1 , win10 win7 系统 麻烦
__label__2 , win7 官网 win7 驱动 支持 出差 时上 企业 数据库 企业 数据库 支持 win7 安装 win7 触摸板 Fn 功能键 系统 激活 笔记本 退货 客户 处于 尴尬 境地 京东 华硕 售后 没能 妥善解决 win10 系统 恢复 服务中心 安装 收费 商品 介绍 页面 京东 华硕 刻意 隐瞒 不向 客户 笔记本 完美 支持 win7 误导
__label__2 , 强制 锁死 浏览器 主页 设置 流氓
__label__2 , 公分 距离 掉下去 高质量 产品
__label__2 , 差评 手机 几天 本想 送厂 检查 送到 东京 检测 分部 检测 手机 入液 保修 三百多元 维修费 手机 退回 厂家 维修 东京 分部 维修 手机 会有 入液 发霉 现状 售后服务
__label__2 , 暂时 评论 差评 情况 运气 昨天 差评 慌得 要命 拿到 手机 五分钟 验机 激活 估计 一星 告诉 运气 凑热闹 运气 一向 很差 5500 小数目 qiong 孩子
__label__1 , 物流 送到 很赞 手机 很漂亮 内存 足够 流畅 不卡顿 关键 618 价格 实惠 性价比 更好 先用 后期 追评 五分 好评 推荐 购买
__label__2 , 一周 评价 手机 极光 质感 背面 感觉 廉价 v10 性价比 本来 期待 荣耀 v10 带来 失望 手机 WIFI WIFI 信号 不好 面部 解锁 麒麟 970 芯片 玩游戏 决战 平安 小卡小卡 手机 期待 荣耀 这星 快递 小哥 京东 快递
__label__1 , 媳妇 喜欢 6G 运存 速度 开机 系统 自占 1.45 运存 4G 运存 足够 玩游戏 自带 128G 存储空间 开机 105G 视频 随机 选择 观看 进度 加载 等待 玩游戏 加载 总体 LeMax2 骁龙 820 处理器 手机 发热 比骁龙 820
__label__1 , 不错 正好
__label__2 , 客服 鼠标 打游戏 回来 一看 看不见 真不知道 这是 做生意 学会 哄人 当做 傻子
__label__2 , 买来 没个 降价 亏大
__label__1 , 
__label__1 , 性价比
__label__1 , 东东 喜欢 穿着 舒服
__label__1 , 真的
__label__2 , 第一次 买手机 屏幕 luo 不求 保护膜 起码 有个 隔离 不好 购物
__label__2 , 客服 天天 不上 京东 客服 估计 一星 客服 产品 无关
__label__1 , 
__label__2 , 两周 掉价 速度 64G 够用 将来 再换 新机 新手机 好用 拍照 配合 办公 记事 一星 京东
__label__2 , 十天 降价 150 价保 京东 hellip hellip 失望
__label__1 , 张卡 不错 拍照 清晰 妈用 功能 足够
__label__1 , 衣服 大小 款式 上身 合适 面料 柔软 透气 穿着 凉快 价格 优惠 好评
__label__2 , 建议 上当 一星 超级 差评
__label__1 , 想象 还好 满意 好看 穿着 舒服 支持 京东
__label__2 , 评论 死机 不行 早上 确实 体验 死机 感觉 两分钟 手机 黑屏 都动 手机 关机 自动 重启 碰到 关键 原因 开机 开机 开机
__label__1 , 不错 内存 给力
__label__1 , 衣服 料子 不错 款式 时尚 价格 实惠 机会 还会 光顾
__label__2 , 下单 收到 降价 做法 中国 消费者 寒心 差评
__label__1 , 买来 舒服
__label__2 , 机子 要死 发个 文件 半天 屏幕 现象 机子 身边 几个 人用 样子 垃圾
__label__2 , 
__label__2 , 垃圾 手机 续航 垃圾 发热 两天 后盖
__label__2 , 感觉 不好 机子 服务 糟糕
__label__1 , 
__label__2 , 老人家 追求 性能 拍照 清晰 打电话 聊微信 唯一 不爽 中午 下单 降价 五拾 价保 取消 订单 下单 取消 干脆 没货 想想 几十块
__label__1 , 不错 一点点 不要紧
__label__2 , 说实话 再也不会 华为 电子产品 不想
__label__1 , 用户 未填写 评价 内容
__label__1 , 拍照 玩游戏 确实 卡顿 流畅 不错
__label__1 , 东西 收到 喜欢 颜色 好看 图片 价格便宜 款式 商家 服务态度 物流
__label__1 , 裤子 特别 喜欢
__label__1 , 合适 质量 舒服 大小 合适 良心话 值得 便宜
__label__2 , 家里人 外观 小米 垃圾 体验 安卓 游戏 屏幕 玩游戏 拖延 玩过 差劲 一部 手机
__label__2 , 倒霉 拿到 一部 垃机 微博 动态图 点不开 王者 荣耀 屏幕 失灵 软件 打开 裸机 一部
__label__2 , 老人 换个 智能机 新手机 屏幕 一道 裂痕 侧面 看不出来 换货 商家 态度 原则 告诉 只能 费用 500 新手机 只能 手机 垃圾 售后 评价 朋友 建议 手机 真的 质量 不靠 售后 形同虚设 真诚 忠告 hellip hellip 功能 质量 不行 售后 不行 自寻烦恼 评价 京东 平台 无关
__label__1 , 皮质 真皮 舒适 透气
__label__1 , 颜色 差别 太大 图片 红色 实物 枣红色
__label__1 , 正品 鞋子 码子 皮子 款式 卖家
__label__2 , 耳机
__label__1 , 质量 不错
__label__1 , 装上 卖家 发了 安装 视频 显卡 分开 不亏 固态 硬盘 开机 超级 点个 打算 机械 硬盘 扩展
__label__2 , 电脑 优点 轻薄 携带 很大 缺点 散热 不好 刚买 几天 黑屏 几次
__label__1 , 买来
__label__2 , 特别 不好
__label__2 , 码子 太大 码子 标准 邮费 卖家 包出 感觉 小亏
__label__1 , 第一次 购买 thinkpad 产品 dell 电脑 到手 测试 整体 不错 吐槽 面太 痕迹 左下角 手贱 贴标 撕掉 胶痕 一擦 深黑
__label__1 , 第一次 网上 电脑 感觉 超棒 几个 舍友 官网 电脑 电脑包 加厚 鼠标垫 键盘 无线 鼠标 羡慕 哈哈哈 电脑 超薄 颜控 外形 满意 刚刚 大师 得分 七千 百度 分数段 电脑 高等 满意
__label__2 , 几天 降价 客服 超过 七天 差价 新手机 真伤
__label__2 , 
__label__1 , 价格 实惠 身上 特别 舒服 满意 购物
__label__2 , 手机 真的 不好 上款 手机 荣耀 v9 好用 真的 垃圾 华为 荣耀 1000 v9
__label__1 , 好看 性能 刚刚 win10 习惯
__label__2 , 从来不 评论 这家 黑店 店主 气到 差评 告诉 大伙 他家 东西 真的 我人 国外 下单 邮递 日本 半个 时间 箱子 打开 国际 邮递 ems 特快专递 邮递 东西 损害 排除 物流 电脑 损坏 可能性 昨天晚上 收到 电脑 包裹 打开 包装 说明书 保证书 一概 特别 简单 纸片 赠品 东西 不全 算了 便宜 忘记 理解 鼠标 用过 磨损 痕迹 瞎子 店主 鼠标 人为 好意思 说出 电脑 第一次 开机 超慢 注册 联想 用户 睡觉 白天 第二次 打开 电脑 下载安装 常用 软件 六点 电脑 触摸板 滑动 屏幕 光标 显示 重启 不行 客服 没说 几句 就让 维修点 搞错 电脑 第一天 开机 店主 一副 事不关己 高高挂起 样子 一堆 废话 意识 电脑 电脑 第一天 卖家 维修 还拉黑
__label__2 , 垃圾 电脑 刚买 电脑 一把 电池 次数 用过 客服 说话 不理 劳资 投诉
__label__1 , 品牌 很潮 喜欢 风格
__label__1 , 
__label__2 , 手机 屏幕 质量 异物 失望
__label__2 , 理论 待机 扯淡 看个 电影 电池 百分之 操作系统 流畅性 只能 备用 手机 凑合 追求 超长 待机 朋友 打消 念头 真心 不行
